,X1,X2,X3,word,frequency
and_i_will1,and,i,will,and_i_will,105
and_i_love,and,i,love,and_i_love,97
and_i_don't1,and,i,don't,and_i_don't,94
and_i_am1,and,i,am,and_i_am,94
and_i_would,and,i,would,and_i_would,93
and_i_are1,and,i,are,and_i_are,93
and_i_know,and,i,know,and_i_know,91
and_i_hope,and,i,hope,and_i_hope,90
and_i_were,and,i,were,and_i_were,87
and_i_can't,and,i,can't,and_i_can't,84
and_i_can,and,i,can,and_i_can,82
and_i_just,and,i,just,and_i_just,73
and_i_are,and,i,are,and_i_are,73
and_i_thought,and,i,thought,and_i_thought,72
and_i_can1,and,i,can,and_i_can,69
and_i_just1,and,i,just,and_i_just,63
and_i_know1,and,i,know,and_i_know,63
and_i_can't1,and,i,can't,and_i_can't,61
and_i_was1,and,i,was,and_i_was,60
and_i_think1,and,i,think,and_i_think,10
and_i_have2,and,i,have,and_i_have,5
and_i_can2,and,i,can,and_i_can,5
and_if_you,and,if,you,and_if_you,151
and_if_i,and,if,i,and_if_i,5
and_i'm_not,and,i'm,not,and_i'm_not,71
and_in_the,and,in,the,and_in_the,155
and_in_the1,and,in,the,and_in_the,10
and_it_was,and,it,was,and_it_was,319
and_it_is,and,it,is,and_it_is,245
and_it_was1,and,it,was,and_it_was,83
and_lots_of,and,lots,of,and_lots_of,76
and_more_than,and,more,than,and_more_than,10
and_most_of,and,most,of,and_most_of,7
and_of_course,and,of,course,and_of_course,178
and_of_course1,and,of,course,and_of_course,7
and_one_of,and,one,of,and_one_of,76
and_so_on,and,so,on,and_so_on,71
and_thank_you,and,thank,you,and_thank_you,59
and_thanks_for,and,thanks,for,and_thanks_for,82
and_that_is,and,that,is,and_that_is,116
and_that_the,and,that,the,and_that_the,8
and_thatâ_s,and,thatâ,s,and_thatâ_s,6
and_the_other,and,the,other,and_the_other,104
and_the_state,and,the,state,and_the_state,6
and_the_other1,and,the,other,and_the_other,5
and_then_i,and,then,i,and_then_i,130
and_then_the,and,then,the,and_then_the,74
and_there_are,and,there,are,and_there_are,103
and_there_is,and,there,is,and_there_is,102
and_there_was,and,there,was,and_there_was,71
and_they_are,and,they,are,and_they_are,106
and_they_were,and,they,were,and_they_were,74
and_they_have,and,they,have,and_they_have,5
and_this_is,and,this,is,and_this_is,115
and_we_are,and,we,are,and_we_are,89
and_we_will,and,we,will,and_we_will,5
and_when_i,and,when,i,and_when_i,90
and_will_be,and,will,be,and_will_be,71
and_you_can,and,you,can,and_you_can,100
and_you_will,and,you,will,and_you_will,55
any_of_the,any,of,the,any_of_the,119
any_of_the1,any,of,the,any_of_the,6
appeared_in_the,appeared,in,the,appeared_in_the,5
appeared_to_be,appeared,to,be,appeared_to_be,7
appears_to_be,appears,to,be,appears_to_be,5
are_a_few,are,a,few,are_a_few,112
are_among_the,are,among,the,are_among_the,6
are_expected_to,are,expected,to,are_expected_to,10
are_going_to,are,going,to,are_going_to,216
are_going_to1,are,going,to,are_going_to,188
are_going_to2,are,going,to,are_going_to,18
are_in_the,are,in,the,are_in_the,96
are_in_the1,are,in,the,are_in_the,76
are_in_the2,are,in,the,are_in_the,5
are_looking_for,are,looking,for,are_looking_for,6
are_on_the,are,on,the,are_on_the,8
are_plenty_of,are,plenty,of,are_plenty_of,7
are_so_many,are,so,many,are_so_many,80
are_the_best,are,the,best,are_the_best,124
are_trying_to,are,trying,to,are_trying_to,5
are_you_going,are,you,going,are_you_going,153
are_you_doing,are,you,doing,are_you_doing,120
are_you_in,are,you,in,are_you_in,70
are_you_a,are,you,a,are_you_a,64
are_you_coming,are,you,coming,are_you_coming,59
around_the_world,around,the,world,around_the_world,105
around_the_corner,around,the,corner,around_the_corner,60
around_the_world1,around,the,world,around_the_world,11
as_a_result,as,a,result,as_a_result,155
as_a_result1,as,a,result,as_a_result,7
as_a_team,as,a,team,as_a_team,6
as_a_model,as,a,model,as_a_model,5
as_early_as,as,early,as,as_early_as,10
as_far_as,as,far,as,as_far_as,166
as_far_as1,as,far,as,as_far_as,15
as_good_as,as,good,as,as_good_as,56
as_i_was,as,i,was,as_i_was,124
as_i_am,as,i,am,as_i_am,94
as_i_can,as,i,can,as_i_can,93
as_i_have,as,i,have,as_i_have,84
as_it_is,as,it,is,as_it_is,137
as_it_was,as,it,was,as_it_was,70
as_it_is1,as,it,is,as_it_is,9
as_long_as,as,long,as,as_long_as,219
as_long_as1,as,long,as,as_long_as,164
as_long_as2,as,long,as,as_long_as,13
as_much_as,as,much,as,as_much_as,257
as_much_as1,as,much,as,as_much_as,141
as_much_as2,as,much,as,as_much_as,20
as_one_of,as,one,of,as_one_of,73
as_one_of1,as,one,of,as_one_of,7
as_part_of,as,part,of,as_part_of,147
as_part_of1,as,part,of,as_part_of,24
as_soon_as,as,soon,as,as_soon_as,183
as_soon_as1,as,soon,as,as_soon_as,100
as_the_new,as,the,new,as_the_new,6
as_they_are,as,they,are,as_they_are,5
as_well_as,as,well,as,as_well_as,755
as_well_as1,as,well,as,as_well_as,78
as_well_as2,as,well,as,as_well_as,57
as_you_can,as,you,can,as_you_can,156
at_7_30,at,7,30,at_7_30,6
at_a_time,at,a,time,at_a_time,148
at_a_time1,at,a,time,at_a_time,9
at_a_news,at,a,news,at_a_news,6
at_least_i,at,least,i,at_least_i,69
at_least_one,at,least,one,at_least_one,13
at_least_two,at,least,two,at_least_two,7
at_least_a,at,least,a,at_least_a,6
at_one_point,at,one,point,at_one_point,9
at_some_point,at,some,point,at_some_point,92
at_some_point1,at,some,point,at_some_point,5
at_that_time,at,that,time,at_that_time,7
at_the_end,at,the,end,at_the_end,387
at_the_same,at,the,same,at_the_same,283
at_the_time,at,the,time,at_the_time,233
at_the_same1,at,the,same,at_the_same,162
at_the_moment,at,the,moment,at_the_moment,152
at_the_end1,at,the,end,at_the_end,143
at_the_top,at,the,top,at_the_top,119
at_the_beginning,at,the,beginning,at_the_beginning,99
at_the_bottom,at,the,bottom,at_the_bottom,84
at_the_moment1,at,the,moment,at_the_moment,62
at_the_time1,at,the,time,at_the_time,26
at_the_end2,at,the,end,at_the_end,16
at_the_same2,at,the,same,at_the_same,12
at_the_university,at,the,university,at_the_university,9
at_the_center,at,the,center,at_the_center,9
at_the_plate,at,the,plate,at_the_plate,5
at_the_top1,at,the,top,at_the_top,5
at_this_point,at,this,point,at_this_point,190
at_this_point1,at,this,point,at_this_point,82
at_this_time,at,this,time,at_this_time,6
attorney_general's_office,attorney,general's,office,attorney_general's_office,5
away_from_the,away,from,the,away_from_the,135
away_from_the1,away,from,the,away_from_the,8
awkward_moment_when,awkward,moment,when,awkward_moment_when,126
back_at_the,back,at,the,back_at_the,6
back_in_the,back,in,the,back_in_the,134
back_in_the1,back,in,the,back_in_the,116
back_in_the2,back,in,the,back_in_the,10
back_into_the,back,into,the,back_into_the,70
back_of_the,back,of,the,back_of_the,97
back_on_the,back,on,the,back_on_the,71
back_on_the1,back,on,the,back_on_the,7
back_to_the,back,to,the,back_to_the,301
back_to_the1,back,to,the,back_to_the,142
back_to_work,back,to,work,back_to_work,56
back_to_the2,back,to,the,back_to_the,16
bank_of_america,bank,of,america,bank_of_america,6
based_on_the,based,on,the,based_on_the,120
based_on_the1,based,on,the,based_on_the,8
be_a_good1,be,a,good,be_a_good,144
be_a_great,be,a,great,be_a_great,128
be_a_good,be,a,good,be_a_good,81
be_a_part,be,a,part,be_a_part,60
be_a_good2,be,a,good,be_a_good,7
be_able_to,be,able,to,be_able_to,647
be_able_to1,be,able,to,be_able_to,294
be_able_to2,be,able,to,be_able_to,34
be_at_the,be,at,the,be_at_the,79
be_back_in,be,back,in,be_back_in,56
be_held_at,be,held,at,be_held_at,5
be_in_the1,be,in,the,be_in_the,124
be_in_the,be,in,the,be_in_the,105
be_in_the2,be,in,the,be_in_the,9
be_on_the,be,on,the,be_on_the,100
be_on_the1,be,on,the,be_on_the,8
be_one_of,be,one,of,be_one_of,58
be_sure_to1,be,sure,to,be_sure_to,165
be_sure_to,be,sure,to,be_sure_to,108
be_the_best,be,the,best,be_the_best,71
became_the_first,became,the,first,became_the_first,5
because_i_was,because,i,was,because_i_was,88
because_i_am,because,i,am,because_i_am,68
because_it_is,because,it,is,because_it_is,98
because_it_was,because,it,was,because_it_was,80
because_of_the,because,of,the,because_of_the,217
because_of_the1,because,of,the,because_of_the,12
because_of_a,because,of,a,because_of_a,8
because_they_are,because,they,are,because_they_are,96
been_able_to,been,able,to,been_able_to,126
been_able_to1,been,able,to,been_able_to,9
been_in_the,been,in,the,been_in_the,7
before_the_game,before,the,game,before_the_game,5
beginning_of_the,beginning,of,the,beginning_of_the,5
being_able_to,being,able,to,being_able_to,113
being_able_to1,being,able,to,being_able_to,59
being_able_to2,being,able,to,being_able_to,8
believe_in_the,believe,in,the,believe_in_the,6
believe_that_the,believe,that,the,believe_that_the,6
best_of_luck,best,of,luck,best_of_luck,95
best_way_to,best,way,to,best_way_to,72
bit_of_a,bit,of,a,bit_of_a,152
bit_of_a1,bit,of,a,bit_of_a,7
board_of_education,board,of,education,board_of_education,8
bottom_of_the,bottom,of,the,bottom_of_the,104
bottom_of_the1,bottom,of,the,bottom_of_the,5
but_he_said,but,he,said,but_he_said,8
but_he_was,but,he,was,but_he_was,5
but_i_am,but,i,am,but_i_am,180
but_i_have,but,i,have,but_i_have,152
but_i_think,but,i,think,but_i_think,152
but_i_don't,but,i,don't,but_i_don't,143
but_i_don't1,but,i,don't,but_i_don't,129
but_i_think1,but,i,think,but_i_think,105
but_i_was,but,i,was,but_i_was,103
but_i_do,but,i,do,but_i_do,98
but_i_have1,but,i,have,but_i_have,93
but_i_am1,but,i,am,but_i_am,85
but_i_did,but,i,did,but_i_did,82
but_i_can't,but,i,can't,but_i_can't,75
but_i_love,but,i,love,but_i_love,75
but_i_didn't,but,i,didn't,but_i_didn't,73
but_i_will,but,i,will,but_i_will,69
but_i_still,but,i,still,but_i_still,56
but_i_think2,but,i,think,but_i_think,7
but_if_you,but,if,you,but_if_you,127
but_if_you1,but,if,you,but_if_you,69
but_i'm_not,but,i'm,not,but_i'm_not,56
but_in_the,but,in,the,but_in_the,93
but_in_the1,but,in,the,but_in_the,5
but_it_is,but,it,is,but_it_is,215
but_it_was,but,it,was,but_it_was,201
but_it_was1,but,it,was,but_it_was,72
but_it_is1,but,it,is,but_it_is,61
but_it_was2,but,it,was,but_it_was,10
but_it_has,but,it,has,but_it_has,6
but_it_is2,but,it,is,but_it_is,5
but_it's_not,but,it's,not,but_it's_not,6
but_there_is,but,there,is,but_there_is,81
but_there_are,but,there,are,but_there_are,7
but_they_are,but,they,are,but_they_are,88
but_this_is,but,this,is,but_this_is,91
but_this_is1,but,this,is,but_this_is,5
but_with_a,but,with,a,but_with_a,6
by_the_time,by,the,time,by_the_time,156
by_the_way,by,the,way,by_the_way,141
by_the_way1,by,the,way,by_the_way,95
by_the_end,by,the,end,by_the_end,83
by_the_time1,by,the,time,by_the_time,7
by_the_end1,by,the,end,by_the_end,7
by_the_glass,by,the,glass,by_the_glass,5
came_up_with,came,up,with,came_up_with,86
came_up_with1,came,up,with,came_up_with,5
can_be_a,can,be,a,can_be_a,102
can_be_a1,can,be,a,can_be_a,6
can_be_found,can,be,found,can_be_found,5
can_do_it,can,do,it,can_do_it,84
can_i_get,can,i,get,can_i_get,152
can_see_the,can,see,the,can_see_the,71
can_you_please,can,you,please,can_you_please,63
cant_wait_to,cant,wait,to,cant_wait_to,96
can't_wait_to1,can't,wait,to,can't_wait_to,738
can't_wait_for,can't,wait,for,can't_wait_for,297
can't_wait_to,can't,wait,to,can't_wait_to,130
cause_of_the,cause,of,the,cause_of_the,5
center_of_the,center,of,the,center_of_the,7
chairman_of_the,chairman,of,the,chairman_of_the,7
chamber_of_commerce,chamber,of,commerce,chamber_of_commerce,5
chance_to_win,chance,to,win,chance_to_win,84
check_it_out,check,it,out,check_it_out,247
check_out_the1,check,out,the,check_out_the,162
check_out_the,check,out,the,check_out_the,107
check_out_our,check,out,our,check_out_our,103
check_out_my,check,out,my,check_out_my,86
check_us_out,check,us,out,check_us_out,89
chief_executive_officer,chief,executive,officer,chief_executive_officer,5
chief_financial_officer,chief,financial,officer,chief_financial_officer,5
cinco_de_mayo,cinco,de,mayo,cinco_de_mayo,86
close_to_the,close,to,the,close_to_the,8
coach_of_the,coach,of,the,coach_of_the,5
come_back_to,come,back,to,come_back_to,65
come_out_of,come,out,of,come_out_of,5
come_to_the,come,to,the,come_to_the,84
come_up_with,come,up,with,come_up_with,139
come_up_with1,come,up,with,come_up_with,6
commercial_real_estate,commercial,real,estate,commercial_real_estate,5
company_said_it,company,said,it,company_said_it,5
congrats_on_the,congrats,on,the,congrats_on_the,104
contributed_to_this,contributed,to,this,contributed_to_this,8
could_have_been,could,have,been,could_have_been,82
could_have_been1,could,have,been,could_have_been,8
could_not_be,could,not,be,could_not_be,7
county_prosecutor's_office,county,prosecutor's,office,county_prosecutor's_office,5
county_sheriff's_office,county,sheriff's,office,county_sheriff's_office,5
couple_of_weeks,couple,of,weeks,couple_of_weeks,84
couple_of_days,couple,of,days,couple_of_days,83
day_at_the,day,at,the,day_at_the,64
day_of_the,day,of,the,day_of_the,70
day_of_the1,day,of,the,day_of_the,61
day_of_the2,day,of,the,day_of_the,10
day_to_all,day,to,all,day_to_all,103
days_of_the,days,of,the,days_of_the,6
deal_with_the,deal,with,the,deal_with_the,5
death_of_a,death,of,a,death_of_a,5
declined_to_comment,declined,to,comment,declined_to_comment,5
department_of_defense,department,of,defense,department_of_defense,5
did_not_return,did,not,return,did_not_return,6
did_you_know,did,you,know,did_you_know,189
did_you_get,did,you,get,did_you_get,124
did_you_see,did,you,see,did_you_see,61
didn't_want_to,didn't,want,to,didn't_want_to,143
didn't_want_to1,didn't,want,to,didn't_want_to,13
director_of_the,director,of,the,director_of_the,12
do_it_again,do,it,again,do_it_again,5
do_not_have,do,not,have,do_not_have,83
do_not_have1,do,not,have,do_not_have,5
do_the_same,do,the,same,do_the_same,60
do_with_the,do,with,the,do_with_the,73
do_with_the1,do,with,the,do_with_the,5
do_you_think1,do,you,think,do_you_think,293
do_you_have1,do,you,have,do_you_have,268
do_you_know1,do,you,know,do_you_know,160
do_you_think,do,you,think,do_you_think,159
do_you_want,do,you,want,do_you_want,107
do_you_like,do,you,like,do_you_like,93
do_you_have,do,you,have,do_you_have,90
do_you_know,do,you,know,do_you_know,72
donâ_t_know,donâ,t,know,donâ_t_know,8
donâ_t_think,donâ,t,think,donâ_t_think,5
don't_forget_to,don't,forget,to,don't_forget_to,147
don't_get_it,don't,get,it,don't_get_it,56
don't_have_to,don't,have,to,don't_have_to,163
don't_have_to1,don't,have,to,don't_have_to,159
don't_have_a,don't,have,a,don't_have_a,89
don't_have_a1,don't,have,a,don't_have_a,67
don't_have_to2,don't,have,to,don't_have_to,7
don't_have_a2,don't,have,a,don't_have_a,6
don't_know_what1,don't,know,what,don't_know_what,120
don't_know_what,don't,know,what,don't_know_what,107
don't_know_if,don't,know,if,don't_know_if,91
don't_know_how,don't,know,how,don't_know_how,87
don't_know_how1,don't,know,how,don't_know_how,85
don't_know_if1,don't,know,if,don't_know_if,71
don't_know_why,don't,know,why,don't_know_why,56
don't_know_how2,don't,know,how,don't_know_how,5
don't_want_to,don't,want,to,don't_want_to,268
don't_want_to1,don't,want,to,don't_want_to,232
don't_want_to2,don't,want,to,don't_want_to,15
down_in_the,down,in,the,down_in_the,5
down_to_the,down,to,the,down_to_the,116
due_to_the,due,to,the,due_to_the,140
during_the_regular,during,the,regular,during_the_regular,5
each_of_the,each,of,the,each_of_the,75
earlier_this_year,earlier,this,year,earlier_this_year,9
earlier_this_month,earlier,this,month,earlier_this_month,8
earlier_this_week,earlier,this,week,earlier_this_week,5
early_in_the,early,in,the,early_in_the,6
end_of_the,end,of,the,end_of_the,429
end_of_the1,end,of,the,end_of_the,156
end_of_the2,end,of,the,end_of_the,28
even_though_i,even,though,i,even_though_i,116
even_though_the,even,though,the,even_though_the,6
every_time_i1,every,time,i,every_time_i,113
every_time_i,every,time,i,every_time_i,81
excited_for_the,excited,for,the,excited_for_the,76
excited_to_see,excited,to,see,excited_to_see,100
excited_to_be,excited,to,be,excited_to_be,66
executive_director_of,executive,director,of,executive_director_of,10
expected_to_be,expected,to,be,expected_to_be,7
fact_that_i,fact,that,i,fact_that_i,82
fact_that_the,fact,that,the,fact_that_the,5
familiar_with_the,familiar,with,the,familiar_with_the,9
feel_free_to,feel,free,to,feel_free_to,97
feel_free_to1,feel,free,to,feel_free_to,84
feel_like_i1,feel,like,i,feel_like_i,96
feel_like_i,feel,like,i,feel_like_i,81
feel_like_i'm,feel,like,i'm,feel_like_i'm,59
feel_like_a,feel,like,a,feel_like_a,56
few_years_ago,few,years,ago,few_years_ago,73
few_years_ago1,few,years,ago,few_years_ago,6
first_day_of,first,day,of,first_day_of,74
first_of_all,first,of,all,first_of_all,79
first_time_in,first,time,in,first_time_in,74
first_time_in1,first,time,in,first_time_in,9
first_time_since,first,time,since,first_time_since,6
floor_of_the,floor,of,the,floor_of_the,5
follow_me_back,follow,me,back,follow_me_back,117
follow_me_please,follow,me,please,follow_me_please,113
follow_me_i,follow,me,i,follow_me_i,94
follow_me_on,follow,me,on,follow_me_on,60
for_a_while,for,a,while,for_a_while,224
for_a_few,for,a,few,for_a_few,182
for_a_while1,for,a,while,for_a_while,130
for_a_great,for,a,great,for_a_great,128
for_a_long,for,a,long,for_a_long,122
for_a_new,for,a,new,for_a_new,100
for_a_few1,for,a,few,for_a_few,95
for_a_couple,for,a,couple,for_a_couple,74
for_a_good,for,a,good,for_a_good,65
for_a_couple1,for,a,couple,for_a_couple,7
for_a_job,for,a,job,for_a_job,6
for_a_while2,for,a,while,for_a_while,6
for_a_few2,for,a,few,for_a_few,5
for_all_the1,for,all,the,for_all_the,164
for_all_the,for,all,the,for_all_the,81
for_all_of,for,all,of,for_all_of,74
for_all_of1,for,all,of,for_all_of,73
for_all_of2,for,all,of,for_all_of,5
for_at_least,for,at,least,for_at_least,76
for_at_least1,for,at,least,for_at_least,6
for_following_me,for,following,me,for_following_me,112
for_following_us,for,following,us,for_following_us,60
for_him_to,for,him,to,for_him_to,5
for_me_to,for,me,to,for_me_to,228
for_me_i,for,me,i,for_me_i,113
for_me_to1,for,me,to,for_me_to,104
for_me_and,for,me,and,for_me_and,101
for_me_to2,for,me,to,for_me_to,5
for_more_info,for,more,info,for_more_info,76
