,X1,X2,frequency
coach tom,coach,tom,5
cold water,cold,water,32
collective bargaining,collective,bargaining,8
collective bargaining,collective,bargaining,8
columbia university,columbia,university,5
columbus ohio,columbus,ohio,6
come across,come,across,52
come along,come,along,29
come back,come,back,184
come back,come,back,12
come back,come,back,5
come home,come,home,57
come together,come,together,42
come true,come,TRUE,36
comic book,comic,book,27
coming back,coming,back,35
coming back,coming,back,5
coming back,coming,back,5
common sense,common,sense,32
community college,community,college,9
community college,community,college,7
community development,community,development,5
community service,community,service,7
community service,community,service,5
company said,company,said,14
company said,company,said,9
completely different,completely,different,49
conference finals,conference,finals,5
congressional black,congressional,black,5
contributed report,contributed,report,9
convention center,convention,center,6
cook county,cook,county,5
cook minutes,cook,minutes,28
cool completely,cool,completely,28
copic markers,copic,markers,25
couldnt find,couldnt,find,29
couldnt get,couldnt,get,32
couldnt resist,couldnt,resist,25
council member,council,member,6
council members,council,members,6
council members,council,members,5
county commissioner,county,commissioner,8
county executive,county,executive,6
county jail,county,jail,9
county jail,county,jail,7
county police,county,police,6
county prosecutor,county,prosecutor,6
county sheriff,county,sheriff,5
county sheriffs,county,sheriffs,9
county superior,county,superior,5
couple days,couple,days,78
couple hours,couple,hours,43
couple months,couple,months,68
couple times,couple,times,39
couple weeks,couple,weeks,124
couple weeks,couple,weeks,6
couple years,couple,years,68
couple years,couple,years,6
court documents,court,documents,6
court judge,court,judge,10
court papers,court,papers,6
craft beer,craft,beer,34
cream cheese,cream,cheese,48
credit card,credit,card,42
credit card,credit,card,5
credit cards,credit,cards,5
credit cards,credit,cards,5
cross country,cross,country,8
cup coffee,cup,coffee,31
cup tea,cup,tea,41
current former,current,former,5
customer service,customer,service,29
cute little,cute,little,41
cuyahoga county,cuyahoga,county,14
cuyahoga county,cuyahoga,county,9
daily basis,daily,basis,35
daily basis,daily,basis,5
daily income,daily,income,9
daily life,daily,life,26
dark chocolate,dark,chocolate,32
day can,day,can,32
day day,day,day,48
day just,day,just,43
day life,day,life,27
day long,day,long,29
day night,day,night,31
day one,day,one,38
day week,day,week,39
day weekend,day,weekend,25
day went,day,went,29
day work,day,work,30
days ago,days,ago,69
days later,days,later,53
days week,days,week,35
days week,days,week,6
de la,de,la,34
dear friend,dear,friend,37
decided go,decided,go,55
decided make,decided,make,54
decided take,decided,take,49
decided try,decided,try,29
declined comment,declined,comment,9
declined comment,declined,comment,5
deep breath,deep,breath,25
defensive coordinator,defensive,coordinator,5
democratic nomination,democratic,nomination,7
department education,department,education,7
depends kind,depends,kind,5
design team,design,team,74
despite fact,despite,fact,47
determine whether,determine,whether,5
didn’t even,didn’t,even,43
didn’t get,didn’t,get,32
didn’t know,didn’t,know,113
didn’t like,didn’t,like,33
didn’t really,didn’t,really,40
didn’t take,didn’t,take,27
didn’t think,didn’t,think,33
didn’t want,didn’t,want,103
didnt believe,didnt,believe,6
didnt even,didnt,even,57
didnt feel,didnt,feel,6
didnt get,didnt,get,70
didnt get,didnt,get,5
didnt know,didnt,know,80
didnt know,didnt,know,9
didnt know,didnt,know,7
didnt like,didnt,like,32
didnt make,didnt,make,29
didnt really,didnt,really,48
didnt take,didnt,take,5
didnt think,didnt,think,47
didnt want,didnt,want,130
didnt want,didnt,want,9
didnt want,didnt,want,7
die cut,die,cut,38
different things,different,things,37
different types,different,types,36
different way,different,way,29
different ways,different,ways,37
dining room,dining,room,65
dining room,dining,room,9
dining room,dining,room,6
distress ink,distress,ink,29
district court,district,court,7
district judge,district,judge,8
district officials,district,officials,5
district said,district,said,7
doesn’t make,doesn’t,make,33
doesn’t matter,doesn’t,matter,41
doesn’t mean,doesn’t,mean,43
doesn’t really,doesn’t,really,26
doesn’t seem,doesn’t,seem,37
doesn’t want,doesn’t,want,35
doesnt care,doesnt,care,5
doesnt like,doesnt,like,6
doesnt make,doesnt,make,5
doesnt mean,doesnt,mean,36
doesnt mean,doesnt,mean,11
doesnt seem,doesnt,seem,33
dog food,dog,food,5
don’t believe,don’t,believe,42
don’t care,don’t,care,44
don’t even,don’t,even,61
don’t feel,don’t,feel,51
don’t forget,don’t,forget,25
don’t get,don’t,get,84
don’t give,don’t,give,28
don’t just,don’t,just,27
don’t know,don’t,know,297
don’t let,don’t,let,27
don’t like,don’t,like,92
don’t make,don’t,make,27
don’t need,don’t,need,61
don’t really,don’t,really,54
don’t see,don’t,see,39
don’t think,don’t,think,179
don’t understand,don’t,understand,40
don’t want,don’t,want,195
don’t worry,don’t,worry,35
dont care,dont,care,49
dont even,dont,even,73
dont even,dont,even,6
dont expect,dont,expect,5
dont feel,dont,feel,39
dont feel,dont,feel,6
dont feel,dont,feel,6
dont forget,dont,forget,60
dont get,dont,get,101
dont get,dont,get,5
dont give,dont,give,25
dont know,dont,know,358
dont know,dont,know,30
dont know,dont,know,23
dont let,dont,let,25
dont like,dont,like,81
dont make,dont,make,27
dont much,dont,much,5
dont need,dont,need,51
dont really,dont,really,68
dont remember,dont,remember,35
dont see,dont,see,39
dont see,dont,see,5
dont think,dont,think,189
dont think,dont,think,18
dont think,dont,think,15
dont want,dont,want,198
dont want,dont,want,32
dont want,dont,want,14
dont worry,dont,worry,44
douglas county,douglas,county,5
dry ingredients,dry,ingredients,35
duncan said,duncan,said,5
earlier day,earlier,day,6
earlier month,earlier,month,6
earlier month,earlier,month,5
earlier year,earlier,year,37
earlier year,earlier,year,10
earlier year,earlier,year,5
early days,early,days,5
early morning,early,morning,52
early s,early,s,51
early s,early,s,9
early s,early,s,5
east coast,east,coast,29
east side,east,side,5
eastern conference,eastern,conference,5
easy make,easy,make,42
easy way,easy,way,26
economic development,economic,development,8
economic development,economic,development,5
edward jones,edward,jones,5
egg whites,egg,whites,30
eight games,eight,games,6
eight years,eight,years,37
eight years,eight,years,5
either way,either,way,69
el dorado,el,dorado,5
elementary school,elementary,school,33
elementary school,elementary,school,6
elementary school,elementary,school,5
else can,else,can,30
email address,email,address,40
end day,end,day,55
end game,end,game,5
end result,end,result,26
enough get,enough,get,29
enough make,enough,make,39
enough time,enough,time,42
entire life,entire,life,27
entirely different,entirely,different,26
especially since,especially,since,44
essex county,essex,county,10
et al,et,al,27
etc etc,etc,etc,36
even better,even,better,70
even get,even,get,48
even go,even,go,25
even just,even,just,34
even know,even,know,84
even make,even,make,28
even now,even,now,38
even one,even,one,36
even think,even,think,33
even though,even,though,504
even though,even,though,22
even though,even,though,17
even worse,even,worse,34
ever heard,ever,heard,29
ever read,ever,read,27
ever seen,ever,seen,66
ever since,ever,since,91
ever since,ever,since,5
every day,every,day,326
every day,every,day,19
every day,every,day,14
every moment,every,moment,31
every month,every,month,33
every morning,every,morning,41
every night,every,night,49
every now,every,now,27
every one,every,one,74
every person,every,person,35
every single,every,single,127
every time,every,time,225
every time,every,time,11
every time,every,time,9
every week,every,week,70
every year,every,year,113
every year,every,year,6
every year,every,year,5
everyday life,everyday,life,25
everyone else,everyone,else,115
everyone else,everyone,else,7
everyone else,everyone,else,5
everyone know,everyone,know,26
everyone knows,everyone,knows,5
everything else,everything,else,75
everything else,everything,else,5
executive director,executive,director,15
executive director,executive,director,15
executive officer,executive,officer,5
express scripts,express,scripts,6
express scripts,express,scripts,5
facebook page,facebook,page,57
facebook page,facebook,page,5
facebook twitter,facebook,twitter,29
fact one,fact,one,25
fall asleep,fall,asleep,28
fall love,fall,love,35
family friends,family,friends,89
family friends,family,friends,6
family members,family,members,69
family members,family,members,10
family members,family,members,6
far away,far,away,68
far away,far,away,7
far better,far,better,27
fast food,fast,food,38
fast forward,fast,forward,25
federal court,federal,court,8
federal court,federal,court,7
federal government,federal,government,42
federal government,federal,government,18
federal government,federal,government,12
federal money,federal,money,6
federal money,federal,money,5
federal prosecutors,federal,prosecutors,6
federal reserve,federal,reserve,7
feel bad,feel,bad,26
feel better,feel,better,70
feel comfortable,feel,comfortable,34
feel free,feel,free,89
feel good,feel,good,54
feel like,feel,like,427
feel like,feel,like,24
feel like,feel,like,22
feel need,feel,need,40
feel right,feel,right,25
feel right,feel,right,6
feel way,feel,way,35
feeling like,feeling,like,52
feels like,feels,like,119
feet inches,feet,inches,6
fell asleep,fell,asleep,38
fell love,fell,love,59
fell percent,fell,percent,5
felt good,felt,good,28
felt like,felt,like,226
field goal,field,goal,5
final four,final,four,7
final four,final,four,6
finally get,finally,get,26
finally got,finally,got,62
financial officer,financial,officer,7
financial services,financial,services,5
find new,find,new,28
find one,find,one,30
find something,find,something,49
find time,find,time,28
find way,find,way,68
find way,find,way,6
find way,find,way,6
finish line,finish,line,27
finished third,finished,third,6
fire department,fire,department,5
first amer,first,amer,8
first book,first,book,68
first class,first,class,26
first day,first,day,94
first day,first,day,5
first ever,first,ever,34
first half,first,half,33
first half,first,half,16
first half,first,half,8
first lady,first,lady,6
first one,first,one,77
first person,first,person,43
first pitch,first,pitch,5
first place,first,place,125
first place,first,place,7
first quarter,first,quarter,9
first quarter,first,quarter,5
first reported,first,reported,5
first round,first,round,15
first round,first,round,12
first step,first,step,33
first step,first,step,6
first thing,first,thing,79
first thought,first,thought,32
first three,first,three,9
first three,first,three,8
first time,first,time,392
first time,first,time,38
first time,first,time,28
first two,first,two,64
first two,first,two,14
first two,first,two,6
first year,first,year,55
first year,first,year,9
first year,first,year,8
fiscal year,fiscal,year,7
five days,five,days,8
five games,five,games,6
five minutes,five,minutes,46
five six,five,six,6
five years,five,years,92
five years,five,years,15
five years,five,years,10
fled scene,fled,scene,5
food processor,food,processor,42
football coach,football,coach,6
football player,football,player,5
football team,football,team,6
forest grove,forest,grove,5
forest park,forest,park,6
former gov,former,gov,9
former gov,former,gov,5
former president,former,president,6
former president,former,president,6
former us,former,us,7
forward seeing,forward,seeing,26
found guilty,found,guilty,7
found one,found,one,29
found way,found,way,29
four days,four,days,6
four days,four,days,6
four months,four,months,27
four months,four,months,5
four seasons,four,seasons,6
four seasons,four,seasons,6
four times,four,times,26
four times,four,times,6
four times,four,times,5
four years,four,years,76
four years,four,years,30
four years,four,years,20
fourth quarter,fourth,quarter,8
fourth quarter,fourth,quarter,6
free agency,free,agency,5
free agent,free,agent,6
free agents,free,agents,6
free press,free,press,6
free throws,free,throws,5
free time,free,time,32
friday night,friday,night,62
friday night,friday,night,10
friday night,friday,night,6
friday saturday,friday,saturday,6
friend mine,friend,mine,47
friends family,friends,family,83
front door,front,door,44
full time,full,time,39
full time,full,time,6
fund class,fund,class,9
funds mmfcl,funds,mmfcl,7
game said,game,said,5
gave us,gave,us,52
gay couples,gay,couples,6
gay marriage,gay,marriage,18
general election,general,election,7
general manager,general,manager,24
general manager,general,manager,10
general motors,general,motors,5
george w,george,w,8
george washington,george,washington,5
george washington,george,washington,5
get around,get,around,28
get away,get,away,74
get back,get,back,207
get back,get,back,8
get back,get,back,6
get better,get,better,73
get chance,get,chance,42
get chance,get,chance,5
get done,get,done,52
get enough,get,enough,35
get going,get,going,34
get good,get,good,36
get good,get,good,5
get hands,get,hands,34
get home,get,home,42
get idea,get,idea,31
get job,get,job,33
get know,get,know,52
get little,get,little,58
get lost,get,lost,29
get married,get,married,32
get much,get,much,40
get much,get,much,6
get one,get,one,61
get point,get,point,27
get ready,get,ready,39
get ready,get,ready,6
get really,get,really,25
get rid,get,rid,65
get rid,get,rid,5
get right,get,right,35
get see,get,see,38
get something,get,something,30
get started,get,started,79
get things,get,things,5
get together,get,together,34
get us,get,us,32
get used,get,used,36
get used,get,used,5
get way,get,way,33
get win,get,win,5
get work,get,work,36
get wrong,get,wrong,61
getting back,getting,back,51
getting better,getting,better,32
getting ready,getting,ready,56
give away,give,away,54
give time,give,time,28
give try,give,try,25
give us,give,us,75
gives us,gives,us,42
giving us,giving,us,26
global warming,global,warming,29
gluten free,gluten,free,25
go ahead,go,ahead,53
go ahead,go,ahead,6
go along,go,along,34
go around,go,around,28
go away,go,away,52
go back,go,back,216
go back,go,back,7
go back,go,back,6
go bed,go,bed,31
go check,go,check,31
go college,go,college,5
go get,go,get,42
go home,go,home,48
go school,go,school,29
go see,go,see,38
go way,go,way,36
go work,go,work,32
go wrong,go,wrong,36
goat cheese,goat,cheese,5
god bless,god,bless,27
god god,god,god,29
god knows,god,knows,28
goes back,goes,back,28
going back,going,back,66
going back,going,back,5
going forward,going,forward,7
going get,going,get,96
going get,going,get,11
going get,going,get,8
going give,going,give,36
going go,going,go,58
going happen,going,happen,40
going happen,going,happen,5
going home,going,home,25
going keep,going,keep,27
going make,going,make,58
going make,going,make,6
going need,going,need,5
going one,going,one,25
going start,going,start,26
going take,going,take,46
going take,going,take,7
going take,going,take,5
going try,going,try,44
going well,going,well,32
going work,going,work,25
golden brown,golden,brown,36
golden brown,golden,brown,6
good bad,good,bad,39
good chance,good,chance,25
good day,good,day,30
good deal,good,deal,25
good enough,good,enough,58
good friend,good,friend,52
good friends,good,friends,39
good idea,good,idea,76
good idea,good,idea,5
good job,good,job,54
good luck,good,luck,47
good morning,good,morning,34
good news,good,news,100
good news,good,news,10
good news,good,news,5
good old,good,old,34
good one,good,one,32
good place,good,place,27
good reason,good,reason,41
good thing,good,thing,127
good thing,good,thing,5
good things,good,things,49
good time,good,time,95
good time,good,time,6
good way,good,way,41
got back,got,back,54
got home,got,home,87
got little,got,little,30
got married,got,married,29
got new,got,new,30
got one,got,one,28
got really,got,really,29
got see,got,see,25
got thinking,got,thinking,31
gov chris,gov,chris,12
gov chris,gov,chris,11
government agencies,government,agencies,5
grand jury,grand,jury,7
granite city,granite,city,5
great day,great,day,44
great deal,great,deal,82
great deal,great,deal,7
great idea,great,idea,33
great job,great,job,35
great lakes,great,lakes,5
great things,great,things,32
great time,great,time,58
great way,great,way,68
great weekend,great,weekend,31
grocery store,grocery,store,70
grocery store,grocery,store,5
group friends,group,friends,5
group people,group,people,39
half hour,half,hour,67
hall fame,hall,fame,8
happy birthday,happy,birthday,61
happy hour,happy,hour,5
happy new,happy,new,43
hard believe,hard,believe,27
hard find,hard,find,30
hard get,hard,get,35
hard time,hard,time,77
hard work,hard,work,83
hard work,hard,work,7
hard work,hard,work,6
harry potter,harry,potter,37
havent seen,havent,seen,35
head back,head,back,35
head coach,head,coach,9
head coach,head,coach,7
headed back,headed,back,25
health benefits,health,benefits,6
health care,health,care,71
health care,health,care,31
health care,health,care,24
health department,health,department,5
health insurance,health,insurance,15
health insurance,health,insurance,10
health system,health,system,7
heart attack,heart,attack,26
heart attack,heart,attack,6
heart disease,heart,disease,7
heat add,heat,add,7
heisman trophy,heisman,trophy,5
help get,help,get,36
help others,help,others,27
help us,help,us,60
hes also,hes,also,5
hes also,hes,also,5
hes going,hes,going,6
hes going,hes,going,6
hes got,hes,got,8
high court,high,court,5
high level,high,level,5
high quality,high,quality,35
high school,high,school,277
high school,high,school,63
high school,high,school,57
high schools,high,schools,7
high schools,high,schools,6
higher education,higher,education,7
highly recommend,highly,recommend,44
historic preservation,historic,preservation,5
holiday season,holiday,season,35
holiday season,holiday,season,5
holy spirit,holy,spirit,81
home game,home,game,7
home game,home,game,5
home run,home,run,10
home run,home,run,5
home runs,home,runs,5
home school,home,school,29
home work,home,work,42
homeland security,homeland,security,5
hong kong,hong,kong,25
hope can,hope,can,37
hope enjoy,hope,enjoy,53
hope everyone,hope,everyone,39
hope like,hope,like,30
hope see,hope,see,36
hope wonderful,hope,wonderful,25
hot water,hot,water,36
hours day,hours,day,41
hours day,hours,day,6
hours later,hours,later,33
hours later,hours,later,10
hours later,hours,later,6
house representatives,house,representatives,5
house said,house,said,5
house senate,house,senate,6
house speaker,house,speaker,6
house speaker,house,speaker,5
hudson county,hudson,county,7
hudson county,hudson,county,5
huge fan,huge,fan,25
human beings,human,beings,63
human rights,human,rights,70
human rights,human,rights,6
human rights,human,rights,6
human services,human,services,8
hunger games,hunger,games,27
huntington beach,huntington,beach,5
ice cream,ice,cream,172
ice cream,ice,cream,5
ice time,ice,time,5
id like,id,like,109
id like,id,like,5
id like,id,like,5
id love,id,love,56
id say,id,say,25
ill get,ill,get,35
ill never,ill,never,27
ill probably,ill,probably,27
ill try,ill,try,35
illegal immigrants,illegal,immigrants,5
im also,im,also,43
im always,im,always,32
im excited,im,excited,50
im feeling,im,feeling,35
im getting,im,getting,28
im glad,im,glad,52
im going,im,going,265
im going,im,going,14
im going,im,going,14
im happy,im,happy,54
im happy,im,happy,5
im hoping,im,hoping,39
im just,im,just,84
im just,im,just,6
im looking,im,looking,48
im one,im,one,36
im pretty,im,pretty,48
im ready,im,ready,25
im really,im,really,82
im sorry,im,sorry,39
im still,im,still,108
im sure,im,sure,280
im sure,im,sure,10
im sure,im,sure,7
im talking,im,talking,30
im thinking,im,thinking,40
im tired,im,tired,29
im trying,im,trying,46
immigration law,immigration,law,6
important thing,important,thing,45
including one,including,one,7
income tax,income,tax,6
incorporated item,incorporated,item,47
instead just,instead,just,31
intellectual property,intellectual,property,34
international airport,international,airport,6
international airport,international,airport,5
iowa state,iowa,state,5
issued statement,issued,statement,5
item b,item,b,26
item c,item,c,52
ive also,ive,also,40
ive always,ive,always,44
ive always,ive,always,7
ive decided,ive,decided,34
ive done,ive,done,35
ive ever,ive,ever,63
ive found,ive,found,34
ive got,ive,got,100
ive just,ive,just,32
ive learned,ive,learned,28
ive made,ive,made,41
ive never,ive,never,87
ive never,ive,never,8
ive read,ive,read,31
ive seen,ive,seen,61
ive seen,ive,seen,6
jackson said,jackson,said,5
january th,january,th,30
jersey city,jersey,city,11
jersey city,jersey,city,8
jesus christ,jesus,christ,141
job growth,job,growth,5
johns hopkins,johns,hopkins,5
johnson said,johnson,said,9
join us,join,us,58
jones said,jones,said,5
judiciary committee,judiciary,committee,5
just another,just,another,53
just another,just,another,7
just around,just,around,25
just bit,just,bit,27
